study_id,title,year,venue,doi,detection_approach,learning_algorithm,metrics_reported,platform,ai_generation,vulnerability_classes,input_representation,quantum_aspects,artifact_dataset_availability
P1,Smart Contract Vulnerability Detection Using Code Representation Fusion,2021,APSEC 2021,10.1109/APSEC53868.2021.00069,Multimodal feature fusion,Pretrained transformers (BERT/DeBERTa),Accuracy; F1-score; Precision/Recall,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P2,Full-Stack Hierarchical Fusion of Static Features for Smart Contracts Vulnerability Detection,2021,IEEE Blockchain 2021,10.1109/Blockchain53845.2021.00091,Graph-based detection (GNN),Graph neural networks,F1-score; Precision/Recall; AUC/ROC,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P3,TokenCheck: Towards Deep Learning Based Security Vulnerability Detection in ERC-20 Tokens,2021,TENSYMP 2021,10.1109/TENSYMP52854.2021.9550913,Static/symbolic analysis,Pretrained transformers (BERT/DeBERTa),Accuracy; Precision/Recall,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P4,EtherGIS: A Vulnerability Detection Framework for Ethereum Smart Contracts Based on Graph Learning Features,2022,COMPSAC 2022,10.1109/COMPSAC54236.2022.00277,Graph-based detection (GNN),Graph neural networks,Accuracy; F1-score,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P5,Reentrancy Vulnerability Detection of Smart Contract Based on Bidirectional Sequential Neural Network with Hierarchical Attention Mechanism,2022,ICBCTIS 2022,10.1109/ICBCTIS55569.2022.00024,Sequence models (LSTM/RNN/CNN),LSTM/BiLSTM/RNN,Accuracy; F1-score; Precision/Recall; AUC/ROC; FPR/TPR/FNR/TNR,Ethereum/EVM,Gen 1,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P6,Smart Contract Vulnerability Detection Based on Abstract Syntax Tree,2022,ISSSR 2022,10.1109/ISSSR56778.2022.00032,Graph-based detection (GNN),Graph neural networks,Accuracy; F1-score; Precision/Recall,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P7,Smart Contract Vulnerability Detection Based on Critical Combination Path and Deep Learning,2022,ICCNS 2022,10.1145/3586102.3586135,Graph-based detection (GNN),Graph neural networks,F1-score; Precision/Recall,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P8,Smart Contract Vulnerability Detection Method Based on Bi-LSTM Neural Network,2022,AEECA 2022,10.1109/AEECA55500.2022.9918922,Sequence models (LSTM/RNN/CNN),Transformers (generic),Accuracy; F1-score; Precision/Recall,Ethereum/EVM,Gen 1,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P9,A Multi-code Representation Fusion Smart Contract Vulnerability Line Detection Method Based on Graph Neural Network,2023,ISCTech 2023,10.1109/ISCTech60480.2023.00013,Graph-based detection (GNN),Graph neural networks,Accuracy,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
P10,A Multimodal Deep Learning Approach for Efficient Vulnerability Detection in Smart Contracts,2023,GLOBECOM 2023,10.1109/GLOBECOM54140.2023.10437295,Multimodal feature fusion,Pretrained transformers (BERT/DeBERTa),Accuracy; Precision/Recall,Ethereum/EVM,Gen 2,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix,Not available in supplied extraction matrix
